"text"|"favorited"|"favoriteCount"|"replyToSN"|"created"|"truncated"|"replyToSID"|"id"|"replyToUID"|"statusSource"|"screenName"|"retweetCount"|"isRetweet"|"retweeted"|"longitude"|"latitude"
"27"|"Republican Millennials Grapple With a Trump Nomination: 'The GOP ... https://t.co/UNu5yD7rWw"|FALSE|0|NA|2016-08-25 18:25:45|FALSE|NA|"768877037066956800"|NA|"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>"|"pshill2010"|0|FALSE|FALSE|NA|NA
"28"|"RT @JElvisWeinstein: I love listening to Clinton Foundation donor Donald Trump's crowd boo whenever he says \"Clinton Foundation Donors.\""|FALSE|0|NA|2016-08-25 18:25:45|FALSE|NA|"768877036861399040"|NA|"<a href=\"http://tapbots.com/software/tweetbot/mac\" rel=\"nofollow\">Tweetbot for Mac</a>"|"philnelson"|3|TRUE|FALSE|NA|NA
"29"|"Come on @CNN @CNNPolitics @MSNBC @NBC Why #Trump talk Lies about #ClintonFundation &amp; her Emails &amp; You not care about His Lies said Some,Why?"|FALSE|0|NA|2016-08-25 18:25:45|FALSE|NA|"768877036739792897"|NA|"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"|"tahino1"|0|FALSE|FALSE|NA|NA
"30"|"@ohpencilsharp And I see he has Farage blowing his horn up there now. Famed nationalist Farage who once condemned Trump's anti-Islamic"|FALSE|0|"ohpencilsharp"|2016-08-25 18:25:45|FALSE|"768871419849482240"|"768877036383395840"|"288629361"|"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"|"badfeelguy"|0|FALSE|FALSE|NA|NA
"31"|"Chicago police: Trump never even talked to our 'very top police' https://t.co/ZuV6ywB1S6"|FALSE|0|NA|2016-08-25 18:25:45|FALSE|NA|"768877036332945409"|NA|"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"|"winstonf71"|0|FALSE|FALSE|NA|NA
"32"|"RT @pappas_73: Nigel Farage : 'Anything Is Possible' When Decent People 'Stand Up Against the Establishment' - Breitbart https://t.co/3C2sW…"|FALSE|0|NA|2016-08-25 18:25:45|FALSE|NA|"768877036244832256"|NA|"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"|"xXrebel1Xx"|145|TRUE|FALSE|NA|NA
"33"|"RT @HeartlessHRC: HILLARY Releases Nasty White Supremacist Ad Against Trump Forgets She Took $20,000 from KKK https://t.co/m7HLtWW48B via @…"|FALSE|0|NA|2016-08-25 18:25:45|FALSE|NA|"768877036026810368"|NA|"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"|"jagfannn"|2|TRUE|FALSE|NA|NA
"34"|"RT @HillaryClinton: Why do so many Ku Klux Klan members support Trump?

\"A lot of what he believes, we believe in.\" https://t.co/AqB3DLKL9f"|FALSE|0|NA|2016-08-25 18:25:45|FALSE|NA|"768877035821432833"|NA|"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"|"mrscgin"|1697|TRUE|FALSE|NA|NA
"35"|"RT @LindaSuhler: .@LynnePatton On Why African-American Voters Should Vote For Trump
#TrumpPence #AmericaFirst
https://t.co/FjLwDZacce https…"|FALSE|0|NA|2016-08-25 18:25:44|FALSE|NA|"768877035225620480"|NA|"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"|"oklahomadude"|71|TRUE|FALSE|NA|NA
"36"|"RT @EnLitendJourney: https://t.co/szXnEK2xI1

Let us be the judge. We can probably figure out gross, net, and charitable donations."|FALSE|0|NA|2016-08-25 18:25:44|FALSE|NA|"768877034890203136"|NA|"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Mobile Web (M5)</a>"|"RachelKrauth"|14|TRUE|FALSE|NA|NA
"37"|"RT @JDiamond1: \"Release your taxes\" one man shouts as Trump speaks."|FALSE|0|NA|2016-08-25 18:25:44|FALSE|NA|"768877034235920384"|NA|"<a href=\"http://www.twitter.com\" rel=\"nofollow\">Twitter for BlackBerry</a>"|"missdebbieinc"|12|TRUE|FALSE|NA|NA
"38"|"More coming today from @HillaryClinton -- Trump as \"a man with a long history of racial discrimination.\" https://t.co/C4WdAKkMc1"|FALSE|0|NA|2016-08-25 18:25:44|FALSE|NA|"768877033556369408"|NA|"<a href=\"https://about.twitter.com/products/tweetdeck\" rel=\"nofollow\">TweetDeck</a>"|"rubycramer"|0|FALSE|FALSE|NA|NA
"39"|"RT @Mansstory2: Evangelicals came together &amp; now  support TRUMP #DTmag https://t.co/pV5inScbZM"|FALSE|0|NA|2016-08-25 18:25:44|FALSE|NA|"768877033275416581"|NA|"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>"|"corvettechaz"|16|TRUE|FALSE|NA|NA
"40"|"RT @aravosis: Trump campaign head Bannon bragged only one month ago about his embrace of \"alt-right\" white nationalists. Jesus. https://t.c…"|FALSE|0|NA|2016-08-25 18:25:44|FALSE|NA|"768877033053126656"|NA|"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"|"salvadormom"|957|TRUE|FALSE|NA|NA
"41"|"TRUMP: You're hurt.
BANNON: Nope.
TRUMP: No, it's OK. You're sad. Embarrassed. 'Cause I cucked you so hard. Cucked your brains out.
BANNON:"|FALSE|2|"onlxn"|2016-08-25 18:25:44|FALSE|"768846765508268032"|"768877032721657856"|"44279901"|"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"|"onlxn"|0|FALSE|FALSE|NA|NA
"42"|"@RadioBaz #Purification by #directing #Trump!
Mohammad kadkhodaie
https://t.co/U3sbD2MmAz
https://t.co/IB2zeuPI5z https://t.co/YjA4Ip9lPH"|FALSE|0|"RadioBaz"|2016-08-25 18:25:44|FALSE|NA|"768877032700649472"|"305722437"|"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"|"sheroerfan"|0|FALSE|FALSE|NA|NA
"43"|"RT @RT_com: ‘I wouldn’t vote for Clinton if you paid me’: Nigel Farage at Trump rally https://t.co/775wMZI5lM https://t.co/MnaMpUyxWF"|FALSE|0|NA|2016-08-25 18:25:44|FALSE|NA|"768877032688132096"|NA|"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"|"Karim_Bihi"|73|TRUE|FALSE|NA|NA
